posting_id,title,label_group
train_129225211,Paper Bag Victoria Secret,249114794
train_2278313361,PAPER BAG VICTORIA SECRET,249114794
train_2288590299,Maling TTS Canned Pork Luncheon Meat 397 gr,2395904891
train_3803689425,Maling Ham Pork Luncheon Meat TTS 397gr,2395904891
train_2406599165,Daster Batik Lengan pendek - Motif Acak / Campur - Leher Kancing (DPT001-00) Batik karakter Alhadi,4093212188
train_3342059966,DASTER PIYAMA KATUN JEPANG(TIDAK BISA PILIH MOTIF & WARNA),4093212188
train_1806152124,KULOT PLISKET SALUR /CANDY PLISKET /WISH KULOT PREMIUM /KULOT PELANGI PREMIUM/HIEKA KULOT,1565741687
train_3227306976,KULOT PLISKET MOMBLU,1565741687
train_86570404,"[LOGU] Tempelan kulkas magnet angka, tempelan angka magnet",2359912463
train_2837452969,"10Pcs Magnet Kulkas Model Angka 0-9, Bahan Kayu, Warna-Warni",2359912463
train_77364776,10Pcs New Cute Wooden Fridge Magnet Number 0-9 Kids Educational Toys MultiColor,2359912463
train_1598329973,Atasan Rajut Wanita LISDIA SWEATER,2462407944
train_841015183,Atasan Rajut Wanita LISDIA SWEATER,2462407944
train_4224502769,LISDIA SWEATER / Atasan Wanita Rajut Halus,2462407944
train_998568945,Lampu led t5 Speedometer Dashboard Motor Mobil 5050 Speedo Bright,4206465630
train_3118756415,Lampu LED T5 5050 1SMD LED Bulb DC12V Indicator Light Dashboard Speedometer Motor Mobil Panel AC,4206465630
train_4287573913,Charger VIZZ VZ-TC11 / batok charger vizz 1A ORIGINAL REAL KAPASITAS,1932232224
train_1748125201,BATOK CHARGER VIZZ VZ-TC 11 per pcs,1932232224
train_1633622311,Batok Charger Vizz VZ TC11 1USB 1Ampare /per pc,1932232224
train_3009013664,MARKS & SPENCER - Rose Hand & Body Lotion 250 ml,1574620312
train_3448377589,MS ROSE Hand & Body Lotion - 250 ml,1574620312
train_2905529497,Masker Medis 3ply Earloop (50pcs) - Masker 3ply Disposable isi 50pcs - Masker 3ply Murah,2034299767
train_869563964,"Masker ""JIAAOSI"" 3PLY Earlopp/50PCS",2034299767
train_3466601092,[Shiyan] mainan gigitan bayi set pack baby teether melatih gigi bayi diatas 3 bulan atau lebih,2933791615
train_354147588,Baby teether | gigitan latihan gigi bayi shiyan 1set bahan silicone,2933791615
train_1572286671,Pakaian Dalam Cewek Wings Bra  Bra Tempel Seamless  Push Up Bra  BH Wanita IMPORT,532279668
train_3117535609,WINGs BRA-BRA TEMPEL SEAMLESS - PUSH UP BRA - STRAPLESS WING BRA - BRA TEMPEL - BH TEMPEL,532279668
train_3219773229,WING BRA - BRA TEMPEL SEAMLESS - PUSH UP BRA - BRA WING (FSW-13),532279668
train_1461445798,Alat Facial Wajah 5 in 1 / Face Beauty Care Massager 5 in 1 JK,4266903097
train_1749322479,BEAUTY CARE MASSAGER 5 in 1 ALAT PEMBERSIH KULIT MUKA / WAJAH CANTIK,4266903097
train_1449570166,Citra Tone Up Pearly White Body Lotion 180 ml / 180ml,3578753118
train_3629891683,CITRA TONE UP PEARLY WHITE BODY LOTION 180ML,3578753118
train_2881004424,CITRA Pearly White UV Tone Up Lotion 180ml,3578753118
train_1305500108,Citra Tone Up Pearly White Body Lotion 180 ml,3578753118
train_2168993061,CITRA tone up pearly white uv lotion 180ml,3578753118
